"","Category","ID","Term","adj_pvalue","id_ensembl"
"1","GO:BP","GO:0006538","glutamate catabolic process",0.0383792140884652,"ENSBTAG00000007540"
"2","GO:BP","GO:0003274","endocardial cushion fusion",0.0383792140884652,"ENSBTAG00000019832"
"3","GO:BP","GO:1905005","regulation of epithelial to mesenchymal transition involved in endocardial cushion formation",0.0383792140884652,"ENSBTAG00000019832"
"4","GO:BP","GO:1905007","positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation",0.0383792140884652,"ENSBTAG00000019832"
"5","GO:BP","GO:0003430","growth plate cartilage chondrocyte growth",0.0383792140884652,"ENSBTAG00000019832"
"6","GO:BP","GO:0003431","growth plate cartilage chondrocyte development",0.0383792140884652,"ENSBTAG00000019832"
"7","GO:BP","GO:0003433","chondrocyte development involved in endochondral bone morphogenesis",0.0383792140884652,"ENSBTAG00000019832"
"8","GO:BP","GO:0003415","chondrocyte hypertrophy",0.0383792140884652,"ENSBTAG00000019832"
"9","GO:BP","GO:0048631","regulation of skeletal muscle tissue growth",0.0383792140884652,"ENSBTAG00000011743"
"10","GO:BP","GO:0051138","positive regulation of NK T cell differentiation",0.0383792140884652,"ENSBTAG00000019832"
"11","GO:BP","GO:0062043","positive regulation of cardiac epithelial to mesenchymal transition",0.0383792140884652,"ENSBTAG00000019832"
"12","GO:BP","GO:0051136","regulation of NK T cell differentiation",0.0383792140884652,"ENSBTAG00000019832"
"13","GO:BP","GO:0003186","tricuspid valve morphogenesis",0.0383792140884652,"ENSBTAG00000019832"
"14","GO:BP","GO:0062042","regulation of cardiac epithelial to mesenchymal transition",0.0383792140884652,"ENSBTAG00000019832"
"15","GO:BP","GO:0060434","bronchus morphogenesis",0.0383792140884652,"ENSBTAG00000019832"
"16","GO:BP","GO:0060440","trachea formation",0.0383792140884652,"ENSBTAG00000019832"
"17","GO:BP","GO:0060462","lung lobe development",0.0383792140884652,"ENSBTAG00000019832"
"18","GO:BP","GO:0060463","lung lobe morphogenesis",0.0383792140884652,"ENSBTAG00000019832"
"19","GO:BP","GO:0048632","negative regulation of skeletal muscle tissue growth",0.0383792140884652,"ENSBTAG00000011743"
"20","GO:BP","GO:0003175","tricuspid valve development",0.0383792140884652,"ENSBTAG00000019832"
"21","GO:BP","GO:0061520","Langerhans cell differentiation",0.0383792140884652,"ENSBTAG00000019832"
"22","GO:BP","GO:1905317","inferior endocardial cushion morphogenesis",0.0383792140884652,"ENSBTAG00000019832"
"23","GO:BP","GO:2000563","positive regulation of CD4-positive, alpha-beta T cell proliferation",0.0383792140884652,"ENSBTAG00000019832"
"24","GO:BP","GO:1990428","miRNA transport",0.0383792140884652,"ENSBTAG00000019832"
"25","GO:BP","GO:0002513","tolerance induction to self antigen",0.0383792140884652,"ENSBTAG00000019832"
"26","GO:BP","GO:0002514","B cell tolerance induction",0.0383792140884652,"ENSBTAG00000019832"
"27","GO:BP","GO:0003149","membranous septum morphogenesis",0.0383792140884652,"ENSBTAG00000019832"
"28","GO:BP","GO:1990086","lens fiber cell apoptotic process",0.0383792140884652,"ENSBTAG00000019832"
"29","GO:BP","GO:0002520","immune system development",0.0383792140884652,"ENSBTAG00000019832,ENSBTAG00000019194"
"30","GO:BP","GO:0002666","positive regulation of T cell tolerance induction",0.0383792140884652,"ENSBTAG00000019832"
"31","GO:BP","GO:0002651","positive regulation of tolerance induction to self antigen",0.0383792140884652,"ENSBTAG00000019832"
"32","GO:BP","GO:0061343","cell adhesion involved in heart morphogenesis",0.0383792140884652,"ENSBTAG00000019832"
"33","GO:BP","GO:0002649","regulation of tolerance induction to self antigen",0.0383792140884652,"ENSBTAG00000019832"
"34","GO:BP","GO:0002661","regulation of B cell tolerance induction",0.0383792140884652,"ENSBTAG00000019832"
"35","GO:BP","GO:0002664","regulation of T cell tolerance induction",0.0383792140884652,"ENSBTAG00000019832"
"36","GO:BP","GO:0002663","positive regulation of B cell tolerance induction",0.0383792140884652,"ENSBTAG00000019832"
"37","GO:BP","GO:0002684","positive regulation of immune system process",0.0428818326342486,"ENSBTAG00000019832,ENSBTAG00000019872,ENSBTAG00000019194"
"38","GO:BP","GO:0048630","skeletal muscle tissue growth",0.0431887751385332,"ENSBTAG00000011743"
"39","GO:BP","GO:0051251","positive regulation of lymphocyte activation",0.0431887751385332,"ENSBTAG00000019832,ENSBTAG00000019194"
"40","GO:BP","GO:0034154","toll-like receptor 7 signaling pathway",0.0431887751385332,"ENSBTAG00000019872"
"41","GO:BP","GO:0060439","trachea morphogenesis",0.0431887751385332,"ENSBTAG00000019832"
"42","GO:BP","GO:0002517","T cell tolerance induction",0.0431887751385332,"ENSBTAG00000019832"
"43","GO:BP","GO:0002645","positive regulation of tolerance induction",0.0431887751385332,"ENSBTAG00000019832"
"44","GO:BP","GO:0060433","bronchus development",0.0460330514148595,"ENSBTAG00000019832"
"45","GO:BP","GO:0003418","growth plate cartilage chondrocyte differentiation",0.0460330514148595,"ENSBTAG00000019832"
"46","GO:BP","GO:0002696","positive regulation of leukocyte activation",0.0482940790099786,"ENSBTAG00000019832,ENSBTAG00000019194"
"47","GO:BP","GO:0001865","NK T cell differentiation",0.0489635306895788,"ENSBTAG00000019832"
"48","GO:BP","GO:0050867","positive regulation of cell activation",0.0496276728801382,"ENSBTAG00000019832,ENSBTAG00000019194"
"49","GO:BP","GO:0003198","epithelial to mesenchymal transition involved in endocardial cushion formation",0.0496276728801382,"ENSBTAG00000019832"
"50","GO:BP","GO:0002643","regulation of tolerance induction",0.0496276728801382,"ENSBTAG00000019832"
"51","GO:BP","GO:2001034","positive regulation of double-strand break repair via nonhomologous end joining",0.0496276728801382,"ENSBTAG00000019194"
"52","GO:MF","GO:0004352","glutamate dehydrogenase (NAD+) activity",0.00981276787728746,"ENSBTAG00000007540"
"53","GO:MF","GO:0004353","glutamate dehydrogenase [NAD(P)+] activity",0.00981276787728746,"ENSBTAG00000007540"
"54","GO:MF","GO:0016639","oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor",0.00981276787728746,"ENSBTAG00000007540"
"55","GO:MF","GO:0005026","transforming growth factor beta receptor activity, type II",0.0147170764744614,"ENSBTAG00000019832"
"56","GO:MF","GO:0048185","activin binding",0.0326677443921016,"ENSBTAG00000019832"
"57","GO:MF","GO:0036312","phosphatidylinositol 3-kinase regulatory subunit binding",0.0326677443921016,"ENSBTAG00000019872"
"58","GO:MF","GO:0034713","type I transforming growth factor beta receptor binding",0.0326677443921016,"ENSBTAG00000019832"
"59","GO:MF","GO:0017002","activin receptor activity",0.0326677443921016,"ENSBTAG00000019832"
"60","GO:MF","GO:0005024","transforming growth factor beta receptor activity",0.0326677443921016,"ENSBTAG00000019832"
"61","GO:MF","GO:0050431","transforming growth factor beta binding",0.0461234247316476,"ENSBTAG00000019832"
"62","GO:MF","GO:0043548","phosphatidylinositol 3-kinase binding",0.0461234247316476,"ENSBTAG00000019872"
"63","GO:MF","GO:0016638","oxidoreductase activity, acting on the CH-NH2 group of donors",0.0461234247316476,"ENSBTAG00000007540"
"64","GO:MF","GO:0005160","transforming growth factor beta receptor binding",0.0461234247316476,"ENSBTAG00000019832"
"65","GO:MF","GO:0004675","transmembrane receptor protein serine/threonine kinase activity",0.0461234247316476,"ENSBTAG00000019832"
"66","REAC","REAC:R-BTA-2243919","Crosslinking of collagen fibrils",0.0440084491310072,"ENSBTAG00000011743"
"67","REAC","REAC:R-BTA-2173788","Downregulation of TGF-beta receptor signaling",0.0440084491310072,"ENSBTAG00000019832"
"68","REAC","REAC:R-BTA-8964539","Glutamate and glutamine metabolism",0.0440084491310072,"ENSBTAG00000007540"
"69","REAC","REAC:R-BTA-112308","Presynaptic depolarization and calcium channel opening",0.0440084491310072,"ENSBTAG00000013117"
"70","REAC","REAC:R-BTA-2151201","Transcriptional activation of mitochondrial biogenesis",0.0440084491310072,"ENSBTAG00000007540"
"71","REAC","REAC:R-BTA-2173791","TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)",0.0440084491310072,"ENSBTAG00000019832"
